;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
CCY3  45.686389 -65.541889 467   ;SUSSEX
CCZ2  54.179519 -58.457097 186   ;RIGOLET
CCZ3  48.274722 -53.923889 199   ;CLARENVILLE
CCZ4  46.341111 -60.979722 181   ;MARGAREE
CCZ5  45.560556 -62.594722 120   ;THORBURN
CCZN  62.071189-142.048375 3318  ;CHISANA
CCZO  62.563472-144.668836 1850  ;CHISTOCHINA
CD66  64.051272-145.717328 1150  ;DELTA JUNCTION
CDA3  45.396667 -63.215556 175   ;VALLEY
CDA4  47.716395 -64.882422 68    ;POKEMOUCHE
CDA5  47.775833 -59.312500 65    ;ST ANDREWS CODROY VALLEY
CDA6  46.459445 -67.564722 574   ;BRISTOL
CDC4  47.516667 -67.416667 875   ;ST-QUENTIN
CDC5  52.010833-121.211111 3060  ;DOUGALL CAMPBELL
CDCK  66.943339-156.904675 260   ;DAHL CREEK
CDD3  45.047500 -74.343333 160   ;STE-AGNES-DE-DUNDEE
CDH3  43.962222 -65.994167 145   ;FINLAY
CDJ4  46.713258 -66.828317 1330  ;CLEARWATER
CDJ5  51.134136-113.560158 3097  ;STRATHMORE D.J. MURRAY
CDK2  64.511353-110.289728 1416  ;DIAVIK
CDL7  68.125292-106.585153 72    ;DORIS LAKE
CDM2  51.653195-114.352917 3501  ;MINTY
CDO2  51.295333-112.610500 2900  ;OSTERGARDS
CDT5  46.509333 -64.693833 57    ;BUCTOUCHE
CDU6  46.552500 -66.094000 326   ;DOAKTOWN
CDU9  42.872222 -79.595833 600   ;DUNNVILLE
